timestamp,X,Y,Z
1764061307223,-0.004038,0.006859,-0.827378
1764061307233,-0.003648,0.00415,-0.849749
1764061307243,-0.013954,-0.017078,-0.880793
1764061307253,-0.000072,0.02295,-0.908517
1764061307263,0.007741,0.032345,-0.922378
1764061307273,-0.010155,-0.011972,-0.937053
1764061307283,-0.009605,-0.008528,-0.925427
1764061307293,0.006392,0.033214,-0.925932
1764061307303,-0.007243,0.009094,-0.904487
1764061307313,-0.000807,0.010702,-0.876508
1764061307323,-0.005232,0.002316,-0.800719
1764061307333,-0.007547,-0.005469,-0.748284
1764061307343,-0.011579,-0.006006,-0.689289
1764061307353,-0.004599,0.007326,-0.655942
1764061307363,-0.010913,-0.002878,-0.67543
1764061307373,-0.004303,0.010885,-0.674762
1764061307384,-0.003475,0.009502,-0.6431
1764061307394,-0.008492,0.003635,-0.644737
1764061307404,-0.001239,0.018329,-0.63232
1764061307414,-0.006765,0.01148,-0.604747
1764061307424,-0.00041,0.014556,-0.593809
1764061307434,-0.006048,0.012806,-0.569343
1764061307444,-0.004292,0.024963,-0.539926
1764061307454,0.004047,0.035396,-0.542888
1764061307464,0.00732,0.038229,-0.548913
1764061307474,0.006605,0.044712,-0.546949
1764061307484,0.014929,0.055464,-0.493785
1764061307494,0.001162,0.036893,-0.42581
1764061307504,0.004007,0.033452,-0.399524
1764061307514,-0.013054,-0.005123,-0.376391
1764061307524,-0.007406,0.008999,-0.406188
1764061307534,-0.007557,0.005278,-0.391038
1764061307544,-0.00901,-0.000995,-0.376447
1764061307554,-0.004739,0.013596,-0.386611
1764061307564,-0.006621,0.007049,-0.373853
1764061307574,-0.006628,0.012288,-0.394655
1764061307584,-0.004453,0.016208,-0.398554
1764061307594,-0.007273,0.007831,-0.394679
1764061307604,-0.006404,0.010044,-0.42246
1764061307614,-0.00137,0.018463,-0.423204
1764061307624,-0.009554,0.004674,-0.416541
1764061307634,-0.003247,0.014962,-0.444822
1764061307644,-0.004254,0.014111,-0.464306
1764061307654,0.000462,0.017519,-0.488399
1764061307664,-0.002866,0.020499,-0.492031
1764061307674,-0.000994,0.019107,-0.483375
1764061307684,-0.002113,0.021952,-0.510042
1764061307694,0.001501,0.028361,-0.506989
1764061307704,0.000229,0.027105,-0.514302
1764061307714,0.002014,0.026551,-0.496906
1764061307724,-0.006321,0.008363,-0.475263
1764061307734,-0.000597,0.019282,-0.47863
1764061307744,-0.004966,0.00924,-0.483246
1764061307754,-0.003241,0.014851,-0.476875
1764061307764,-0.005033,0.018667,-0.45802
1764061307774,-0.007102,0.012939,-0.457463
1764061307784,-0.003137,0.014981,-0.468209
